molecule_chembl_id,pref_name,canonical_smiles,standard_inchi_key,full_mwt,full_molformula,alogp,np_likeness_score,natural_product,compound_id,name,domain,chemical_class,label_source,smiles_final,standard_id,er_alpha_active,er_alpha_active_max_pchembl,ahr_active,ahr_active_max_pchembl,ar_active,ar_active_max_pchembl,esr1_binding,esr1_binding_max_pchembl,esr1_agonism,esr1_agonism_max_pchembl,esr1_antagonism,esr1_antagonism_max_pchembl,esr1_reporter,esr1_reporter_max_pchembl,ahr_binding,ahr_binding_max_pchembl,ahr_agonism,ahr_agonism_max_pchembl,ahr_reporter,ahr_reporter_max_pchembl,ar_binding,ar_binding_max_pchembl,ar_agonism,ar_agonism_max_pchembl,ar_antagonism,ar_antagonism_max_pchembl,ar_reporter,ar_reporter_max_pchembl,mie_receptor_binding,mie_receptor_binding_max_pchembl,mie_receptor_agonism,mie_receptor_agonism_max_pchembl,mie_receptor_antagonism,mie_receptor_antagonism_max_pchembl,reporter_response,reporter_response_max_pchembl,measured_tasks
CHEMBL4475463,AMCENESTRANT,O=C(O)c1ccc2c(c1)CCCC(c1ccc(Cl)cc1Cl)=C2c1ccc(O[C@H]2CCN(CCCF)C2)cc1,KISZAGQTIXIVAR-VWLOTQADSA-N,554.49,C31H30Cl2FNO3,7.8,-0.55,0,CHEMBL4475463,AMCENESTRANT,generic_bioactive,,chembl_source_target_mie_curated,O=C(O)c1ccc2c(c1)CCCC(c1ccc(Cl)cc1Cl)=C2c1ccc(O[C@H]2CCN(CCCF)C2)cc1,KISZAGQTIXIVAR-VWLOTQADSA-N,1.0,9.7,,,,,1.0,9.7,1.0,9.4,1.0,9.4,1.0,8.74,,,,,,,,,,,,,,,1,9.7,1,9.4,1,9.4,1,8.74,"er_alpha_active,esr1_binding,esr1_agonism,esr1_antagonism,esr1_reporter,mie_receptor_binding,mie_receptor_agonism,mie_receptor_antagonism,reporter_response"
CHEMBL4475563,,C[C@](O)(Cn1ccc2c(F)cc(-c3ccc(F)cc3)cc21)C(=O)Nc1ccc(C#N)c(C(F)(F)F)c1,HJAYGMAMUPGCNX-VWLOTQADSA-N,499.44,C26H18F5N3O2,5.87,-1.31,0,CHEMBL4475563,,generic_bioactive,,chembl_source_target_mie_curated,C[C@](O)(Cn1ccc2c(F)cc(-c3ccc(F)cc3)cc21)C(=O)Nc1ccc(C#N)c(C(F)(F)F)c1,HJAYGMAMUPGCNX-VWLOTQADSA-N,,,,,1.0,7.21,,,,,,,,,,,,,,,1.0,7.21,1.0,6.05,1.0,6.05,1.0,6.05,1,7.21,1,6.05,1,6.05,1,6.05,"ar_active,ar_binding,ar_agonism,ar_antagonism,ar_reporter,mie_receptor_binding,mie_receptor_agonism,mie_receptor_antagonism,reporter_response"
CHEMBL4475765,,C[C@@](O)(Cn1ccc2cc(F)ccc21)C(=O)Nc1ccc(C#N)c(C(F)(F)F)c1,CFSAYQVTXBMPRF-LJQANCHMSA-N,405.35,C20H15F4N3O2,4.06,-1.61,0,CHEMBL4475765,,generic_bioactive,,chembl_source_target_mie_curated,C[C@@](O)(Cn1ccc2cc(F)ccc21)C(=O)Nc1ccc(C#N)c(C(F)(F)F)c1,CFSAYQVTXBMPRF-LJQANCHMSA-N,,,,,1.0,6.22,,,,,,,,,,,,,,,1.0,6.22,1.0,6.22,1.0,6.22,1.0,6.22,1,6.22,1,6.22,1,6.22,1,6.22,"ar_active,ar_binding,ar_agonism,ar_antagonism,ar_reporter,mie_receptor_binding,mie_receptor_agonism,mie_receptor_antagonism,reporter_response"
CHEMBL4475784,,COc1ccc(OCCc2ccc(CN3CCN(c4ccccc4)CC3)cc2)cc1.Cl.Cl,OONKWUIDEQISRD-UHFFFAOYSA-N,475.46,C26H32Cl2N2O2,4.64,-1.04,0,CHEMBL4475784,,generic_bioactive,,chembl_source_target_mie_curated,COc1ccc(OCCc2ccc(CN3CCN(c4ccccc4)CC3)cc2)cc1.Cl.Cl,OONKWUIDEQISRD-UHFFFAOYSA-N,,,,,1.0,5.94,,,,,,,,,,,,,,,1.0,5.94,,,,,,,1,5.94,,,,,,,"ar_active,ar_binding,mie_receptor_binding"
CHEMBL4475951,,CC/C(=C(/c1ccc(/C=C/C(=O)O)cc1)c1ccc2c(cnn2C)c1)c1ccc(F)cc1Cl,UQXKOQGOAQVMOE-LPOJXSLPSA-N,460.94,C27H22ClFN2O2,6.83,-0.82,0,CHEMBL4475951,,generic_bioactive,,chembl_source_target_mie_curated,CC/C(=C(/c1ccc(/C=C/C(=O)O)cc1)c1ccc2c(cnn2C)c1)c1ccc(F)cc1Cl,UQXKOQGOAQVMOE-LPOJXSLPSA-N,1.0,7.57,,,,,1.0,7.57,,,,,,,,,,,,,,,,,,,,,1,7.57,,,,,,,"er_alpha_active,esr1_binding,mie_receptor_binding"
CHEMBL4476031,,COC/C=C/C1=C(C)c2cc(O)ccc2O[C@H]1c1ccc(OCCN2CC(CF)C2)cc1,IUUIMBVXEBTHCZ-JNMYPXEXSA-N,439.53,C26H30FNO4,4.78,0.29,0,CHEMBL4476031,,generic_bioactive,,chembl_source_target_mie_curated,COC/C=C/C1=C(C)c2cc(O)ccc2O[C@H]1c1ccc(OCCN2CC(CF)C2)cc1,IUUIMBVXEBTHCZ-JNMYPXEXSA-N,1.0,9.7,,,,,1.0,9.7,,,,,,,,,,,,,,,,,,,,,1,9.7,,,,,,,"er_alpha_active,esr1_binding,mie_receptor_binding"
CHEMBL447604,,COc1cc(C#N)ccc1Oc1cccc(C)c1,XMFGJPOABFQKTB-UHFFFAOYSA-N,239.27,C15H13NO2,3.67,-1.25,0,CHEMBL447604,,generic_bioactive,,chembl_source_target_mie_curated,COc1cc(C#N)ccc1Oc1cccc(C)c1,XMFGJPOABFQKTB-UHFFFAOYSA-N,,,,,1.0,6.45,,,,,,,,,,,,,,,1.0,6.45,,,,,,,1,6.45,,,,,,,"ar_active,ar_binding,mie_receptor_binding"
CHEMBL4476484,,Cl.Cl.N#Cc1ccc(OCCc2ccc(CN3CCN(c4ccccc4)CC3)cc2)cc1,DPBJTNQRSJPVJA-UHFFFAOYSA-N,470.44,C26H29Cl2N3O,4.5,-1.38,0,CHEMBL4476484,,generic_bioactive,,chembl_source_target_mie_curated,Cl.Cl.N#Cc1ccc(OCCc2ccc(CN3CCN(c4ccccc4)CC3)cc2)cc1,DPBJTNQRSJPVJA-UHFFFAOYSA-N,,,,,1.0,5.38,,,,,,,,,,,,,,,1.0,5.38,,,,,,,1,5.38,,,,,,,"ar_active,ar_binding,mie_receptor_binding"
CHEMBL4476493,,CCC#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3[C@@H](c3ccc(N(C)C)cc3)C[C@@]21C,ULQLIUHMFMGRIO-BLZQOCCISA-N,459.67,C31H41NO2,6.12,1.28,0,CHEMBL4476493,,generic_bioactive,,chembl_source_target_mie_curated,CCC#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3[C@@H](c3ccc(N(C)C)cc3)C[C@@]21C,ULQLIUHMFMGRIO-BLZQOCCISA-N,,,,,1.0,5.53,,,,,,,,,,,,,,,1.0,5.53,1.0,5.53,1.0,5.53,1.0,5.53,1,5.53,1,5.53,1,5.53,1,5.53,"ar_active,ar_binding,ar_agonism,ar_antagonism,ar_reporter,mie_receptor_binding,mie_receptor_agonism,mie_receptor_antagonism,reporter_response"
CHEMBL4476692,,Oc1ccc2c(c1)CCCC(c1ccc3[nH]ncc3c1)=C2c1ccc(O[C@H]2CCN(CCCF)C2)cc1,JNSMJDOPJIDEFF-MHZLTWQESA-N,497.61,C31H32FN3O2,6.38,-0.41,0,CHEMBL4476692,,generic_bioactive,,chembl_source_target_mie_curated,Oc1ccc2c(c1)CCCC(c1ccc3[nH]ncc3c1)=C2c1ccc(O[C@H]2CCN(CCCF)C2)cc1,JNSMJDOPJIDEFF-MHZLTWQESA-N,1.0,8.82,,,,,1.0,8.82,1.0,7.51,1.0,7.51,,,,,,,,,,,,,,,,,1,8.82,1,7.51,1,7.51,,,"er_alpha_active,esr1_binding,esr1_agonism,esr1_antagonism,mie_receptor_binding,mie_receptor_agonism,mie_receptor_antagonism"
