bank_name,task,fold_id,compound_id,self_compound_in_bank,alt_id_same_smiles_in_bank
v1_bank,esr1_binding,scaffold_holdout_01,DTXSID00892442,1,0
v1_bank,esr1_binding,scaffold_holdout_01,DTXSID1020069,1,0
v1_bank,esr1_binding,scaffold_holdout_01,DTXSID1020194,1,0
v1_bank,esr1_binding,scaffold_holdout_01,DTXSID1020354,1,0
v1_bank,esr1_binding,scaffold_holdout_01,DTXSID1020512,1,0
v1_bank,esr1_binding,scaffold_holdout_01,DTXSID1020516,1,0
v1_bank,esr1_binding,scaffold_holdout_01,DTXSID1020770,1,0
v1_bank,esr1_binding,scaffold_holdout_01,DTXSID1020805,1,1
v1_bank,esr1_binding,scaffold_holdout_01,DTXSID1020807,1,1
v1_bank,esr1_binding,scaffold_holdout_01,DTXSID1021243,1,0
v1_bank,esr1_binding,scaffold_holdout_01,DTXSID1021322,1,0
v1_bank,esr1_binding,scaffold_holdout_01,DTXSID1021378,1,1
v1_bank,esr1_binding,scaffold_holdout_01,DTXSID1021403,1,0
v1_bank,esr1_binding,scaffold_holdout_01,DTXSID1021798,1,0
v1_bank,esr1_binding,scaffold_holdout_01,DTXSID1021821,1,0
v1_bank,esr1_binding,scaffold_holdout_01,DTXSID1021877,1,0
v1_bank,esr1_binding,scaffold_holdout_01,DTXSID1021952,1,0
v1_bank,esr1_binding,scaffold_holdout_01,DTXSID1022055,1,0
v1_bank,esr1_binding,scaffold_holdout_01,DTXSID1022267,1,0
v1_bank,esr1_binding,scaffold_holdout_01,DTXSID1023235,1,1
v1_bank,esr1_binding,scaffold_holdout_01,DTXSID1023996,1,0
v1_bank,esr1_binding,scaffold_holdout_01,DTXSID1023998,1,0
v1_bank,esr1_binding,scaffold_holdout_01,DTXSID1024045,1,0
v1_bank,esr1_binding,scaffold_holdout_01,DTXSID1024091,1,0
v1_bank,esr1_binding,scaffold_holdout_01,DTXSID1024097,1,0
v1_bank,esr1_binding,scaffold_holdout_01,DTXSID1024174,1,0
v1_bank,esr1_binding,scaffold_holdout_01,DTXSID1024176,1,0
v1_bank,esr1_binding,scaffold_holdout_01,DTXSID1024209,1,0
v1_bank,esr1_binding,scaffold_holdout_01,DTXSID1024621,1,0
v1_bank,esr1_binding,scaffold_holdout_01,DTXSID1025221,1,0
v1_bank,esr1_binding,scaffold_holdout_01,DTXSID1025560,1,0
v1_bank,esr1_binding,scaffold_holdout_01,DTXSID1025809,1,0
v1_bank,esr1_binding,scaffold_holdout_01,DTXSID1026031,1,1
v1_bank,esr1_binding,scaffold_holdout_01,DTXSID1026033,1,0
v1_bank,esr1_binding,scaffold_holdout_01,DTXSID1026035,1,1
v1_bank,esr1_binding,scaffold_holdout_01,DTXSID1026900,1,1
v1_bank,esr1_binding,scaffold_holdout_01,DTXSID1026904,1,0
v1_bank,esr1_binding,scaffold_holdout_01,DTXSID1026906,1,0
v1_bank,esr1_binding,scaffold_holdout_01,DTXSID1026908,1,0
v1_bank,esr1_binding,scaffold_holdout_01,DTXSID1027134,1,0
v1_bank,esr1_binding,scaffold_holdout_01,DTXSID1027263,1,0
v1_bank,esr1_binding,scaffold_holdout_01,DTXSID1027429,1,0
v1_bank,esr1_binding,scaffold_holdout_01,DTXSID1027500,1,0
v1_bank,esr1_binding,scaffold_holdout_01,DTXSID1027550,1,0
v1_bank,esr1_binding,scaffold_holdout_01,DTXSID1027633,1,0
v1_bank,esr1_binding,scaffold_holdout_01,DTXSID1027635,1,0
v1_bank,esr1_binding,scaffold_holdout_01,DTXSID1027920,1,0
v1_bank,esr1_binding,scaffold_holdout_01,DTXSID1027924,1,0
v1_bank,esr1_binding,scaffold_holdout_01,DTXSID1029170,1,0
v1_bank,esr1_binding,scaffold_holdout_01,DTXSID1029677,1,0
v1_bank,esr1_binding,scaffold_holdout_01,DTXSID1032303,1,0
