task,model,brier_score,ece_10bin,mean_score,positive_rate
ar_binding,hybrid,0.16186804708835792,0.162476670213376,0.3687094841455483,0.20623281393217233
ar_binding,rf,0.13804330896776465,0.047348505582016545,0.25071917721069,0.20623281393217233
esr1_binding,hybrid,0.13784317761922435,0.16927449714350512,0.2984931046229822,0.12921860747947705
esr1_binding,rf,0.09668161056187345,0.030534854182497188,0.14802359715347177,0.12921860747947705
