task,bank_name,model,n_rows,excluded_alias_rows,pr_auc,roc_auc,balanced_accuracy,f1,brier,precision_at_5pct,precision_at_10pct,enrichment_factor_5pct
esr1_binding,v1_bank,hybrid,3055,234,0.387633934118915,0.7179733807846297,0.6489360529659064,0.35977653631284917,0.1409007903267352,0.5686274509803921,0.42810457516339867,4.669776512755639
esr1_binding,v1_bank,rf,3055,234,0.3439499731042397,0.7102094429682709,0.5550003206168669,0.2,0.0954961662646074,0.5424836601307189,0.3660130718954248,4.455074144353081
ar_binding,ar_v2_bank,hybrid,2998,275,0.5361039927186533,0.8015456869389453,0.7096490031718055,0.5070611970410221,0.16809522356120302,0.6933333333333334,0.6466666666666666,3.493467787114846
ar_binding,ar_v2_bank,rf,2998,275,0.4664050625377534,0.7691918715051563,0.5766394947492106,0.2831858407079646,0.1364272354588585,0.6133333333333333,0.5266666666666666,3.090375350140056
