task,setting,hybrid_pr_auc,rf_pr_auc,drugban_pr_auc,moltrans_pr_auc,relative_improvement_pct,hybrid_p5,rf_p5
ar_binding,ar_v2_support,0.6460135586875915,0.5151703154576428,0.4456555154076592,0.3561711197603175,26.978539727904284,0.8382779968964179,0.660885436872279
esr1_binding,joint_multi,0.4916891401882656,0.4005432419823661,0.3423671456862924,0.295772873507709,22.50762044388754,0.7013550135501355,0.5465116279069768
