task,run_label,pr_auc_mean,precision_at_5pct_mean,enrichment_factor_5pct_mean,delta_pr_auc_vs_rf,delta_p5_vs_rf,delta_ef5_vs_rf
ar_binding,multi_memory,0.5637147822557067,0.7855781927938125,3.8056642583489664,0.0375270499533035,0.0536030937558951,0.2124078447832178
ar_binding,single_pollutant,0.5310751492414321,0.7279192605168836,3.506169150738482,0.0048874169390289,-0.0040558385210337,-0.0870872628272665
ar_binding,single_mixed,0.5301821597899252,0.738737973967176,3.558680302103624,0.0039944274875221,0.0067628749292586,-0.0345761114621248
ar_binding,rf_reference,0.5261877323024031,0.7319750990379174,3.5932564135657485,0.0,0.0,0.0
ar_binding,single_generic,0.5150743775717801,0.7054046406338428,3.3958761349446176,-0.011113354730623,-0.0265704584040745,-0.1973802786211309
ar_binding,seq_only,0.4177195602545698,0.5465006602527824,2.6751601560822333,-0.1084681720478333,-0.1854744387851349,-0.9180962574835152
esr1_binding,multi_memory,0.4917226622144335,0.7013563624324026,5.26636385517107,0.090336176664691,0.1548339035426553,1.2245933666694295
esr1_binding,single_mixed,0.4695530111345283,0.6808461170584557,5.120678683868391,0.0681665255847858,0.1343236581687084,1.0789081953667503
esr1_binding,single_pollutant,0.4563394444343601,0.655070632380532,4.941698446067285,0.0549529588846176,0.1085481734907847,0.8999279575656445
esr1_binding,single_generic,0.4332955397494578,0.5992824559467314,4.485107350572015,0.0319090541997152,0.052759997056984,0.4433368620703746
esr1_binding,rf_reference,0.4013864855497425,0.5465224588897473,4.041770488501641,0.0,0.0,0.0
esr1_binding,seq_only,0.3034240554899431,0.4217691204061362,3.232808519522316,-0.0979624300597993,-0.124753338483611,-0.8089619689793244
