task,chemotype,n,positives,rf_pr_auc,hybrid_pr_auc,delta_pr_auc,rf_p5,hybrid_p5,delta_p5
ar_binding,phenol_like,225,86,0.6317717587335315,0.7397760343682445,0.10800427563471293,0.6666666666666666,0.9166666666666666,0.25
ar_binding,other,2897,553,0.4386183762757658,0.5422647617434001,0.10364638546763433,0.5655172413793104,0.7241379310344828,0.1586206896551724
ar_binding,pfas_like,36,8,0.24469339964883258,0.2225862952836637,-0.022107104365168884,0.0,0.0,0.0
