task,chemotype,n,positives,rf_pr_auc,hybrid_pr_auc,delta_pr_auc,rf_p5,hybrid_p5,delta_p5
esr1_binding,pfas_like,101,42,0.4902473087356781,0.5576577119463018,0.06741040321062364,0.6666666666666666,0.6666666666666666,0.0
esr1_binding,other,3031,315,0.28227754511843073,0.3493735003064402,0.06709595518800948,0.40131578947368424,0.506578947368421,0.10526315789473678
esr1_binding,phenol_like,87,26,0.7891631181818897,0.8219744595481102,0.03281134136622055,0.8,1.0,0.19999999999999996
esr1_binding,phthalate,23,7,0.5570905285190999,0.4149873935588221,-0.14210313496027782,0.5,0.0,-0.5
ar_binding,phenol_like,225,86,0.6317717587335315,0.7397760343682445,0.10800427563471293,0.6666666666666666,0.9166666666666666,0.25
ar_binding,other,2897,553,0.4386183762757658,0.5422647617434001,0.10364638546763433,0.5655172413793104,0.7241379310344828,0.1586206896551724
ar_binding,pfas_like,36,8,0.24469339964883258,0.2225862952836637,-0.022107104365168884,0.0,0.0,0.0
