memory_name,compound_id,name,domain,reference_group,label_source,ar_binding,tanimoto,murcko_scaffold,task,query_compound_id,query_name,query_delta_score
natural_product,CHEMBL603,ZAFIRLUKAST,natural_product,natural_product,chembl_source_target_mie_curated,1.0,0.22105263,O=C(Nc1ccc2[nH]cc(Cc3ccc(C(=O)NS(=O)(=O)c4ccccc4)cc3)c2c1)OC1CCCC1,ar_binding,DTXSID2022678,Bicalutamide,0.741589629650116
ar_support_v2,CHEMBL63560,(R)-BICALUTAMIDE,generic_bioactive,generic_bioactive,chembl_source_target_mie_curated,1.0,1.0,O=C(CCS(=O)(=O)c1ccccc1)Nc1ccccc1,ar_binding,DTXSID2022678,Bicalutamide,0.741589629650116
ar_support_v2,CHEMBL409,BICALUTAMIDE,generic_bioactive,generic_bioactive,chembl_source_target_mie_curated,1.0,1.0,O=C(CCS(=O)(=O)c1ccccc1)Nc1ccccc1,ar_binding,DTXSID2022678,Bicalutamide,0.741589629650116
ar_support_v2,CHEMBL124881,(S)-BICALUTAMIDE,generic_bioactive,generic_bioactive,chembl_source_target_mie_curated,1.0,1.0,O=C(CCS(=O)(=O)c1ccccc1)Nc1ccccc1,ar_binding,DTXSID2022678,Bicalutamide,0.741589629650116
ar_support_v2,CHEMBL122510,CHEMBL122510,generic_bioactive,generic_bioactive,chembl_source_target_mie_curated,1.0,0.8627451,O=C(CCS(=O)(=O)c1ccccc1)Nc1ccccc1,ar_binding,DTXSID2022678,Bicalutamide,0.741589629650116
ar_support_v2,CHEMBL4585541,CHEMBL4585541,generic_bioactive,generic_bioactive,chembl_source_target_mie_curated,1.0,0.84615386,O=C(CCS(=O)(=O)c1ccccc1)Nc1ccccc1,ar_binding,DTXSID2022678,Bicalutamide,0.741589629650116
pollutant_only,DTXSID0032493,Triadimenol,pollutant,pollutant_only,ctx_target_mie_curated_endpoints,1.0,0.6041667,c1ccc(OCn2cncn2)cc1,ar_binding,DTXSID3023897,Triadimefon,0.6933902502059937
pollutant_only,DTXSID2024242,Paclobutrazol,pollutant,pollutant_only,ctx_target_mie_curated_endpoints,1.0,0.46153846,c1ccc(CCn2cncn2)cc1,ar_binding,DTXSID3023897,Triadimefon,0.6933902502059937
pollutant_only,DTXSID3020336,Clofibrate,pollutant,pollutant_only,ctx_target_mie_curated_endpoints,0.0,0.40425533,c1ccccc1,ar_binding,DTXSID3023897,Triadimefon,0.6933902502059937
pollutant_only,DTXSID2040363,Diniconazole,pollutant,pollutant_only,ctx_target_mie_curated_endpoints,1.0,0.36206895,C(=Cn1cncn1)c1ccccc1,ar_binding,DTXSID3023897,Triadimefon,0.6933902502059937
pollutant_only,DTXSID2029874,Fenofibrate,pollutant,pollutant_only,ctx_target_mie_curated_endpoints,0.0,0.35849056,O=C(c1ccccc1)c1ccccc1,ar_binding,DTXSID3023897,Triadimefon,0.6933902502059937
natural_product,CHEMBL6,INDOMETHACIN,natural_product,natural_product,chembl_source_target_mie_curated,1.0,0.25373134,O=C(c1ccccc1)n1ccc2ccccc21,ar_binding,DTXSID3023897,Triadimefon,0.6933902502059937
natural_product,CHEMBL1391,"O,P'-DDE (1,1-(O,P'-DICHLORODIPHENYL)-2,2 DICHLOROETHENE)",natural_product,natural_product,chembl_source_target_mie_curated,0.0,0.23529412,C=C(c1ccccc1)c1ccccc1,ar_binding,DTXSID3023897,Triadimefon,0.6933902502059937
natural_product,CHEMBL1326877,DIOXYBENZONE,natural_product,natural_product,chembl_source_target_mie_curated,1.0,0.21818182,O=C(c1ccccc1)c1ccccc1,ar_binding,DTXSID3023897,Triadimefon,0.6933902502059937
natural_product,CHEMBL469759,CHEMBL469759,natural_product,natural_product,chembl_source_target_mie_curated,1.0,0.21428572,O=C(CCOc1ccccc1)Nc1ccccc1,ar_binding,DTXSID3023897,Triadimefon,0.6933902502059937
natural_product,CHEMBL416898,CHLOROPHENOTHANE,natural_product,natural_product,chembl_source_target_mie_curated,0.0,0.21276596,c1ccc(Cc2ccccc2)cc1,ar_binding,DTXSID3023897,Triadimefon,0.6933902502059937
ar_support_v2,DTXSID0032493,Triadimenol,pollutant,pollutant_only,ctx_target_mie_curated_endpoints,1.0,0.6041667,c1ccc(OCn2cncn2)cc1,ar_binding,DTXSID3023897,Triadimefon,0.6933902502059937
ar_support_v2,DTXSID2024242,Paclobutrazol,pollutant,pollutant_only,ctx_target_mie_curated_endpoints,1.0,0.46153846,c1ccc(CCn2cncn2)cc1,ar_binding,DTXSID3023897,Triadimefon,0.6933902502059937
ar_support_v2,DTXSID3020336,Clofibrate,pollutant,pollutant_only,ctx_target_mie_curated_endpoints,0.0,0.40425533,c1ccccc1,ar_binding,DTXSID3023897,Triadimefon,0.6933902502059937
ar_support_v2,DTXSID2040363,Diniconazole,pollutant,pollutant_only,ctx_target_mie_curated_endpoints,1.0,0.36206895,C(=Cn1cncn1)c1ccccc1,ar_binding,DTXSID3023897,Triadimefon,0.6933902502059937
ar_support_v2,DTXSID9032113,Tebuconazole,pollutant,pollutant_only,ctx_target_mie_curated_endpoints,1.0,0.3508772,c1ccc(CCCCn2cncn2)cc1,ar_binding,DTXSID3023897,Triadimefon,0.6933902502059937
pollutant_only,DTXSID8034877,Pyrimethanil,pollutant,pollutant_only,ctx_target_mie_curated_endpoints,0.0,0.65625,c1ccc(Nc2ncccn2)cc1,ar_binding,DTXSID1032359,Cyprodinil,0.6931606332461039
pollutant_only,DTXSID4042121,Mepanipyrim,pollutant,pollutant_only,ctx_target_mie_curated_endpoints,0.0,0.5121951,c1ccc(Nc2ncccn2)cc1,ar_binding,DTXSID1032359,Cyprodinil,0.6931606332461039
pollutant_only,DTXSID4021975,Diphenylamine,pollutant,pollutant_only,ctx_target_mie_curated_endpoints,0.0,0.3125,c1ccc(Nc2ccccc2)cc1,ar_binding,DTXSID1032359,Cyprodinil,0.6931606332461039
pollutant_only,DTXSID0027721,4-(2-Phenylpropan-2-yl)-N-[4-(2-phenylpropan-2-yl)phenyl]aniline,pollutant,pollutant_only,ctx_target_mie_curated_endpoints,0.0,0.2682927,c1ccc(Cc2ccc(Nc3ccc(Cc4ccccc4)cc3)cc2)cc1,ar_binding,DTXSID1032359,Cyprodinil,0.6931606332461039
pollutant_only,DTXSID2025892,N-Phenyl-1-naphthylamine,pollutant,pollutant_only,ctx_target_mie_curated_endpoints,1.0,0.2682927,c1ccc(Nc2cccc3ccccc23)cc1,ar_binding,DTXSID1032359,Cyprodinil,0.6931606332461039
natural_product,CHEMBL278819,MINAPRINE,natural_product,natural_product,chembl_source_target_mie_curated,1.0,0.21666667,c1ccc(-c2ccc(NCCN3CCOCC3)nn2)cc1,ar_binding,DTXSID1032359,Cyprodinil,0.6931606332461039
natural_product,CHEMBL121626,TOLFENAMIC ACID,natural_product,natural_product,chembl_source_target_mie_curated,0.0,0.21568628,c1ccc(Nc2ccccc2)cc1,ar_binding,DTXSID1032359,Cyprodinil,0.6931606332461039
natural_product,CHEMBL282575,ESTRADIOL BENZOATE,natural_product,natural_product,chembl_source_target_mie_curated,1.0,0.20895523,O=C(Oc1ccc2c(c1)CCC1C2CCC2CCCC21)c1ccccc1,ar_binding,DTXSID1032359,Cyprodinil,0.6931606332461039
natural_product,CHEMBL193377,CHEMBL193377,natural_product,natural_product,chembl_source_target_mie_curated,0.0,0.19512194,c1ccc(C2COCC2c2ccccc2)cc1,ar_binding,DTXSID1032359,Cyprodinil,0.6931606332461039
natural_product,CHEMBL194749,CHEMBL194749,natural_product,natural_product,chembl_source_target_mie_curated,1.0,0.19298245,c1ccc2c(c1)CCC1C2CCC2CCCC21,ar_binding,DTXSID1032359,Cyprodinil,0.6931606332461039
ar_support_v2,DTXSID8034877,Pyrimethanil,pollutant,pollutant_only,ctx_target_mie_curated_endpoints,0.0,0.65625,c1ccc(Nc2ncccn2)cc1,ar_binding,DTXSID1032359,Cyprodinil,0.6931606332461039
ar_support_v2,DTXSID4021975,Diphenylamine,pollutant,pollutant_only,ctx_target_mie_curated_endpoints,0.0,0.3125,c1ccc(Nc2ccccc2)cc1,ar_binding,DTXSID1032359,Cyprodinil,0.6931606332461039
ar_support_v2,DTXSID2025892,N-Phenyl-1-naphthylamine,pollutant,pollutant_only,ctx_target_mie_curated_endpoints,1.0,0.2682927,c1ccc(Nc2cccc3ccccc23)cc1,ar_binding,DTXSID1032359,Cyprodinil,0.6931606332461039
ar_support_v2,DTXSID7025895,"N-Phenyl-1,4-benzenediamine",pollutant,pollutant_only,ctx_target_mie_curated_endpoints,1.0,0.2631579,c1ccc(Nc2ccccc2)cc1,ar_binding,DTXSID1032359,Cyprodinil,0.6931606332461039
ar_support_v2,DTXSID7051557,"2,6-Dimethylpyridine",pollutant,pollutant_only,ctx_target_mie_curated_endpoints,0.0,0.25714287,c1ccncc1,ar_binding,DTXSID1032359,Cyprodinil,0.6931606332461039
pollutant_only,DTXSID7032004,Flutamide,pollutant,pollutant_only,ctx_target_mie_curated_endpoints,1.0,0.70731705,c1ccccc1,ar_binding,DTXSID8033562,Hydroxyflutamide,0.6900109603070821
pollutant_only,DTXSID7021788,3-(Trifluoromethyl)-4-nitrophenol,pollutant,pollutant_only,ctx_target_mie_curated_endpoints,1.0,0.57894737,c1ccccc1,ar_binding,DTXSID8033562,Hydroxyflutamide,0.6900109603070821
pollutant_only,DTXSID3034165,Nilutamide,pollutant,pollutant_only,ctx_target_mie_curated_endpoints,1.0,0.43137255,O=C1CNC(=O)N1c1ccccc1,ar_binding,DTXSID8033562,Hydroxyflutamide,0.6900109603070821
pollutant_only,DTXSID2022678,Bicalutamide,pollutant,pollutant_only,ctx_target_mie_curated_endpoints,1.0,0.43103448,O=C(CCS(=O)(=O)c1ccccc1)Nc1ccccc1,ar_binding,DTXSID8033562,Hydroxyflutamide,0.6900109603070821
pollutant_only,DTXSID3032337,Butralin,pollutant,pollutant_only,ctx_target_mie_curated_endpoints,0.0,0.3469388,c1ccccc1,ar_binding,DTXSID8033562,Hydroxyflutamide,0.6900109603070821
natural_product,CHEMBL469759,CHEMBL469759,natural_product,natural_product,chembl_source_target_mie_curated,1.0,0.32786885,O=C(CCOc1ccccc1)Nc1ccccc1,ar_binding,DTXSID8033562,Hydroxyflutamide,0.6900109603070821
natural_product,CHEMBL1324,TOLCAPONE,natural_product,natural_product,chembl_source_target_mie_curated,1.0,0.28301886,O=C(c1ccccc1)c1ccccc1,ar_binding,DTXSID8033562,Hydroxyflutamide,0.6900109603070821
natural_product,CHEMBL1910411,CHEMBL1910411,natural_product,natural_product,chembl_source_target_mie_curated,1.0,0.23809524,c1ccc2c(c1)CCCN2,ar_binding,DTXSID8033562,Hydroxyflutamide,0.6900109603070821
natural_product,CHEMBL182186,CHEMBL182186,natural_product,natural_product,chembl_source_target_mie_curated,1.0,0.21818182,O=C1C2C3C=CC(C3)C2C(=O)N1c1ccccc1,ar_binding,DTXSID8033562,Hydroxyflutamide,0.6900109603070821
natural_product,CHEMBL603,ZAFIRLUKAST,natural_product,natural_product,chembl_source_target_mie_curated,1.0,0.18390805,O=C(Nc1ccc2[nH]cc(Cc3ccc(C(=O)NS(=O)(=O)c4ccccc4)cc3)c2c1)OC1CCCC1,ar_binding,DTXSID8033562,Hydroxyflutamide,0.6900109603070821
ar_support_v2,CHEMBL491,HYDROXYFLUTAMIDE,generic_bioactive,generic_bioactive,chembl_source_target_mie_curated,1.0,1.0,c1ccccc1,ar_binding,DTXSID8033562,Hydroxyflutamide,0.6900109603070821
ar_support_v2,CHEMBL48159,CHEMBL48159,generic_bioactive,generic_bioactive,chembl_source_target_mie_curated,1.0,0.74418604,c1ccccc1,ar_binding,DTXSID8033562,Hydroxyflutamide,0.6900109603070821
ar_support_v2,CHEMBL296323,CHEMBL296323,generic_bioactive,generic_bioactive,chembl_source_target_mie_curated,1.0,0.74418604,c1ccccc1,ar_binding,DTXSID8033562,Hydroxyflutamide,0.6900109603070821
ar_support_v2,CHEMBL179525,CHEMBL179525,generic_bioactive,generic_bioactive,chembl_source_target_mie_curated,1.0,0.74418604,c1ccccc1,ar_binding,DTXSID8033562,Hydroxyflutamide,0.6900109603070821
ar_support_v2,DTXSID7032004,Flutamide,pollutant,pollutant_only,ctx_target_mie_curated_endpoints,1.0,0.70731705,c1ccccc1,ar_binding,DTXSID8033562,Hydroxyflutamide,0.6900109603070821
pollutant_only,DTXSID7026102,Tetrachlorophthalic anhydride,pollutant,pollutant_only,ctx_target_mie_curated_endpoints,0.0,0.3043478,O=C1OC(=O)c2ccccc21,ar_binding,DTXSID6032518,"4,5-Dichloro-3H-1,2-dithiol-3-one",0.6794974525769553
pollutant_only,DTXSID9034286,5-Chloro-2-methyl-3(2H)-isothiazolone,pollutant,pollutant_only,ctx_target_mie_curated_endpoints,1.0,0.25,O=c1ccs[nH]1,ar_binding,DTXSID6032518,"4,5-Dichloro-3H-1,2-dithiol-3-one",0.6794974525769553
