pr_auc,roc_auc,balanced_accuracy,f1,p_at_5,p_at_10,ef_at_5
0.0726238607215356,0.02539001024962262,0.12261171685215522,0.18789263278126783,0.07272727272727275,0.1367781155015198,0.5511520737327196
0.038825781375751434,0.00200669745189086,0.10417416864824736,0.15687641429599275,0.042424242424242475,0.07294832826747721,0.3149736644093313
0.06531372344803305,0.0153425895497864,0.10943148209004272,0.16825531914893613,0.06060606060606055,0.07598784194528874,0.469019607843137
0.0597990991307949,0.018462639881224097,0.09326335868693025,0.14401593336954555,0.042424242424242475,0.06686930091185411,0.31856925418569304
0.043945994171344926,-0.02273660871157568,0.11126329890342301,0.1726179631991254,0.06666666666666665,0.05167173252279639,0.5183609141055943
0.019851199214453386,-0.02107082880569,0.09335671243702459,0.12398470811957901,0.06666666666666665,0.045592705167173286,0.517138364779874
0.031917272658188944,-0.013082350230558148,0.09400696500683425,0.172827903091061,0.048484848484848464,0.045592705167173286,0.35202354672553327
0.038607501946854694,-0.0021868883357900604,0.10096939967297369,0.16276413478012566,0.08484848484848495,0.030395136778115506,0.6415325670498095
0.040350158310740014,-0.006364105569795275,0.102073692405938,0.1529889933032366,0.030303030303030276,0.054711246200607855,0.2523206751054845
0.03367021834850226,0.007835852909381047,0.10000815072841773,0.14113807531380745,-0.030303030303030387,0.04255319148936171,-0.246699669966997
0.02710530515049181,-0.03154243059281692,0.10490760332196103,0.1294711729622267,0.030303030303030276,0.018237082066869248,0.24190938511326898
0.03359351026831847,0.009109278386277064,0.11578730563432804,0.1525337820074662,0.018181818181818188,0.03343465045592703,0.1498746867167915
0.04871010693940159,0.001732594743649174,0.08598225107168711,0.1174561048385887,0.06060606060606066,0.06079027355623101,0.46356589147286886
0.054834148911705904,-0.015607666183446667,0.09628286406544573,0.1292642566191447,0.07878787878787874,0.07598784194528879,0.6351307189542474
0.06273651092940769,0.008214745627333042,0.11923076923076925,0.16217080791548877,0.08484848484848484,0.088145896656535,0.6505050505050507
0.059219852241874704,0.000986951519414525,0.10091533846257306,0.1388002636783125,0.030303030303030276,0.08510638297872336,0.26366843033509646
0.03298883415497428,-0.005297183355740365,0.08656326246078772,0.1550515842926404,-0.018181818181818188,0.03647416413373861,-0.14238095238095294
0.025990453681447645,-0.015405699423949093,0.09997528286945423,0.1727335081401021,0.042424242424242475,0.03647416413373855,0.3121551081282634
0.05696233916816362,0.0017844990548203654,0.10853140096618363,0.17031763417305587,0.06666666666666665,0.05471124620060791,0.5296296296296292
0.04705576979570553,0.008825167262543676,0.10788373538218177,0.18296739853626087,0.054545454545454564,0.030395136778115506,0.4133640552995397
0.057933897873432116,0.0013307170829358617,0.11577775867569673,0.18052030078772063,0.048484848484848575,0.0942249240121581,0.3778830963665092
0.06574966007457095,0.007449135238525639,0.10012307617810123,0.15795215984944835,0.07878787878787874,0.08814589665653494,0.5970814132104447
0.05796875184515399,0.004277181451665113,0.09484988138295813,0.16096473283692,0.10303030303030314,0.04863221884498481,0.7844135802469143
0.039966433023216896,-0.01386426922032058,0.08628981594675367,0.1291494490358127,0.042424242424242364,0.06686930091185406,0.34115729421352814
0.049728943208623866,-0.0014196130969195142,0.10320159474444546,0.16211172564875787,0.09090909090909094,0.06382978723404259,0.6889400921658986
0.033664840153478204,0.0028557284633284885,0.0970265737656889,0.14797515527950314,0.036363636363636376,0.04863221884498481,0.2895883777239714
0.03736045514368075,0.009878701202394202,0.11141881489759065,0.1723309039764736,-0.0060606060606061,0.04863221884498481,-0.04909688013136293
0.049237938664930814,0.00810202537709781,0.10208267633085011,0.1671518137035379,0.024242424242424288,0.05775075987841943,0.1983416252072967
0.028124375117997202,0.0062312273840086085,0.07768866840679278,0.11854493901156038,0.018181818181818188,0.04559270516717323,0.1417061611374404
0.05458834216786901,0.011043635706444621,0.09755155760529055,0.117791813633008,0.06060606060606055,0.06686930091185406,0.47916666666666696
0.051388770068953094,0.005552023733842004,0.10856643356643347,0.1551335681070879,0.07272727272727264,0.06990881458966569,0.5575757575757567
0.058070938025172825,0.014426308054936499,0.09138979731620023,0.1490256761024802,0.06666666666666665,0.04255319148936171,0.5029051987767579
0.04440839384825951,0.010020955947922294,0.08444602091773035,0.1159321532806582,0.036363636363636376,0.045592705167173286,0.2712018140589567
0.03347851644252786,0.0007031475168706169,0.0864680958202062,0.14570706602660338,0.048484848484848464,0.021276595744680826,0.37878068091844774
0.040442877288257906,0.0005964541505224519,0.10203123165433836,0.16184766014177482,0.048484848484848464,0.06686930091185406,0.3543703703703702
0.05580393517756205,0.008098205836217676,0.10165901813609213,0.15585849577440858,0.0,0.045592705167173286,0.0
0.040512151569722155,-0.01710515591634476,0.11282051282051275,0.17982448423427388,0.030303030303030276,0.05167173252279639,0.2323232323232327
0.04445236061634755,0.0036873871950627857,0.10703732994352466,0.1688021712716772,0.024242424242424288,0.05775075987841949,0.18414164742109307
0.05964038548734418,-0.003129836346274062,0.10952204550693145,0.17760690172543142,0.10303030303030303,0.07902735562310031,0.7992138364779873
0.05230888706918263,-0.0011526472222893602,0.09625208418915987,0.14833580050971357,0.07878787878787874,0.06990881458966569,0.5957088122605363
0.035991125449785166,-0.019689616065893922,0.09262542410041819,0.15837479270315094,0.030303030303030276,0.033434650455927084,0.22346786248131512
0.056164731112076205,0.003448027814410781,0.12100427606601916,0.1967101531480431,0.09696969696969693,0.030395136778115506,0.7264996203492791
0.06687315429907714,0.00976733977172961,0.10277868523320466,0.17393250688705233,0.06060606060606066,0.08206686930091184,0.4885620915032689
0.03925842552902964,-0.001961058166283336,0.09649030561945449,0.1293870632199407,0.06060606060606066,0.07598784194528879,0.469019607843137
0.04762487314416303,-0.004677256054042345,0.10261871566333058,0.12144173663731311,0.07878787878787874,0.039513677811550185,0.6169841269841267
0.07917096765996995,0.013841859687372393,0.10457967952613856,0.1633908256038028,0.10303030303030303,0.07294832826747727,0.7772171253822631
0.02926489924502318,0.003239270367362823,0.10229367569498171,0.16288523350349782,0.030303030303030276,0.06382978723404253,0.22754946727549452
0.06660927923875787,0.023192273162457644,0.10846692307947148,0.17196162949641738,0.054545454545454564,0.07902735562310026,0.4261282660332544
0.03621340556220726,-0.0024328660477104247,0.11946862698684069,0.1556481239528414,-0.030303030303030276,0.018237082066869303,-0.25296108291032127
0.07028783930807336,0.008661936974096673,0.09689453518854596,0.16400037755241162,0.06666666666666665,0.08814589665653494,0.5245614035087716
0.052192725035226095,0.020039986784028962,0.1015799862757224,0.1647520980893994,0.030303030303030387,0.045592705167173286,0.2430894308943099
0.0427818418479195,-0.009509553921980718,0.09340099073096775,0.1702136967125265,0.06060606060606055,0.045592705167173286,0.4400294334069166
0.04139038648788251,-0.010615143349015699,0.09500174155346575,0.13015873015873014,0.036363636363636376,0.06686930091185411,0.28612440191387556
0.03831570809817275,0.00783918794708871,0.11005474963034001,0.16477429121937798,0.030303030303030276,0.05775075987841943,0.22703113135914865
0.04866982498942074,0.002939301250131088,0.09944151662133693,0.14770240490010167,0.06060606060606055,0.05167173252279639,0.4592933947772657
0.02709456992966064,0.014324624397229146,0.10339490133776774,0.14034591586258377,0.024242424242424288,0.06079027355623101,0.1884948778565807
0.019460811236958753,-0.025853812082649363,0.09089904145213634,0.15839410797245324,0.0121212121212122,0.04255319148936171,0.08410689170182817
0.04178285705005946,0.00740134994807895,0.11984856351678785,0.183455773348707,-0.048484848484848464,0.09118541033434657,-0.3986666666666663
0.0015516166199019965,-0.014381269772026806,0.0945641826829593,0.12596171050277327,-0.036363636363636376,0.03647416413373861,-0.2909975669099758
0.015241855961407091,-0.013243927854353243,0.10524233516041304,0.16049207353555178,0.0,0.0,0.0
0.013414061559077983,0.0004346831388698513,0.07049370853351644,0.10721841287941306,-0.0121212121212122,0.006079027355623101,-0.10631111111111213
0.047168154048731814,-0.024015477804279595,0.10080134529917462,0.16107923084667267,0.09090909090909094,0.04863221884498481,0.740099009900991
0.041906419343410606,-0.012410314028761249,0.09612655646461521,0.14506865114553807,0.07878787878787874,0.06686930091185411,0.6012374323279186
0.031980200098712164,-0.0012913489948138679,0.08785305481518213,0.12835825297118758,-0.0121212121212122,0.048632218844984754,-0.09019607843137312
0.014350639919400665,-0.011397313049491209,0.09471047778985153,0.1425981241532357,0.012121212121212088,0.06079027355623101,0.09402515723270444
0.05225192641048393,0.0008868868149494169,0.10186907721305216,0.15960629921259845,0.042424242424242475,0.06382978723404259,0.32601246105919035
0.01938509106935543,-0.02312618510965625,0.08659976387249113,0.09903536681597436,0.036363636363636376,0.04255319148936171,0.31064935064935106
0.05107166173598754,0.014920253949800677,0.09287285790405475,0.15511785622374374,0.10303030303030303,0.07294832826747721,0.7513673318551373
0.029705236129124346,-0.00567530382939696,0.08960299943947614,0.1358107475322632,0.07272727272727275,0.045592705167173286,0.5424036281179134
0.06911204611962873,0.01917860694084461,0.12325174825174812,0.18062959558823527,0.054545454545454564,0.08510638297872347,0.4181818181818189
0.053098700997921355,0.01933025332344851,0.11696263892366587,0.15047073949649542,0.06060606060606055,0.054711246200607855,0.46682279469164634
0.04474250859838552,0.013106407631616412,0.1261036565707151,0.20490592998332935,0.036363636363636376,0.06382978723404253,0.28009367681498887
0.035081834449631866,-0.013453995620154813,0.09225025373350737,0.14793964430418882,-0.030303030303030276,0.021276595744680826,-0.27456382001836577
0.04149895596327641,-0.010551686933626292,0.10403582228425212,0.1818032352270228,0.042424242424242364,0.05471124620060791,0.32986603624901445
0.02852000374633601,-0.0038551005161641116,0.09920198315675088,0.16849039142032765,0.006060606060605989,0.07902735562310031,0.04873675631621843
0.048020823658271594,0.0015834456487526793,0.0951370786154132,0.13677529367184532,0.042424242424242475,0.06382978723404259,0.3215053763440867
0.052801816887432074,-0.006525442448258256,0.10093434563174386,0.15811440013509934,0.06666666666666665,0.03951367781155013,0.5270833333333336
0.09372268135868694,0.03581440920368517,0.10803070528927439,0.18667430864020632,0.07272727272727275,0.11854103343465039,0.5375280898876404
0.04913929327899347,-0.00472870919019408,0.1097640624740659,0.17765303925951684,0.11515151515151512,0.06079027355623101,0.9017460317460317
0.03655373472008966,0.0003214068436699913,0.09401560135056464,0.14361810674473385,0.048484848484848464,0.06079027355623101,0.37433489827856015
0.08906551884526609,0.00882488589720909,0.1236203108753473,0.17734903925175122,0.1333333333333333,0.09118541033434652,1.0391785150078983
0.04718930360757273,0.015650367331205728,0.09561391187317692,0.15303980313920673,0.07878787878787885,0.09118541033434652,0.605451713395639
0.052116638522667846,0.009529499914115336,0.08026776776776778,0.16734643430972687,0.036363636363636376,0.06079027355623101,0.24864864864864877
0.07271456623103029,0.010773282067905288,0.10613973573484903,0.18400413424124512,0.09696969696969693,0.07902735562310031,0.7298245614035084
0.03890566577572169,-0.008532262618024422,0.08759645848364128,0.1518504163367873,0.030303030303030387,0.06990881458966564,0.22197475872308825
0.03362065025017308,-0.02412977965637353,0.09322257445892534,0.17382815112002672,0.06060606060606066,0.045592705167173286,0.4429629629629632
0.0671316108214432,0.0014295727582440687,0.0932400932400933,0.15178266178266184,0.09090909090909094,0.09726443768996962,0.6969696969696972
0.0446385007625722,0.0012851133059154085,0.11308631772417221,0.1766798192943329,0.048484848484848464,0.06382978723404259,0.36999226604795066
0.05914312340051919,0.013701632976316214,0.11274089229144668,0.18217065111323816,0.07272727272727275,0.06990881458966569,0.5339285714285715
0.03636229056795959,0.0073735649724546715,0.09837387699983113,0.13441906653426017,0.054545454545454564,0.04863221884498481,0.44078624078624085
0.03730951838588481,0.011892632341620302,0.09877911903791547,0.1702124178997047,0.024242424242424288,0.06079027355623107,0.18414164742109307
0.040860625378699056,-0.004329608938547391,0.11602776864935915,0.17977321483297581,0.012121212121212088,0.09726443768996967,0.09380392156862705
0.045278982778503396,0.02441751334308595,0.1054049518045731,0.1699601218005071,0.0060606060606061,0.07902735562310026,0.047801758593125854
0.062492355362354424,0.02697697503625518,0.1083627381792519,0.17694363168981653,0.09090909090909094,0.10030395136778114,0.6571428571428575
0.051141439292630986,0.004379970427206947,0.100327698517364,0.17942764504650557,0.024242424242424176,0.05471124620060791,0.1816249050873191
0.06217723250357987,-0.007081625644695944,0.10699785930464312,0.18054551250651174,0.07272727272727275,0.05775075987841943,0.5473684210526324
0.05487316166712125,-0.004649665870967268,0.11613369366222237,0.19046334961554454,0.054545454545454564,0.06079027355623101,0.4143187066974594
0.05380676194631229,0.003499173449679871,0.1027030183166201,0.14382617912029683,0.07878787878787885,0.06686930091185406,0.6155186064924791
0.05028264284315387,0.004557618943035857,0.11954700374988814,0.16861729832409078,0.05454545454545445,0.06686930091185411,0.4172093023255803
0.05084112923917489,0.0012662204286784107,0.10899403136553654,0.16335890166084233,0.08484848484848495,0.06686930091185411,0.6415325670498095
0.0946974399931928,0.022465126964029025,0.11454588032489399,0.17816962005512582,0.048484848484848464,0.06990881458966564,0.41205857019810477
0.06768634517926342,0.023296716090242975,0.10208186074359893,0.16846062476274448,0.06060606060606055,0.06382978723404253,0.47573587907716686
0.036928955612533065,-0.007031594620698911,0.11201151489212369,0.18608221047245432,0.0060606060606061,0.039513677811550185,0.04679186228482024
0.05649040622560331,0.005419177081777304,0.09059859914687385,0.12478839553339849,0.06666666666666676,0.06990881458966564,0.5220634920634932
0.05410932375592559,0.0039359737591072586,0.11433102860648114,0.17119438666211306,0.10909090909090902,0.07598784194528874,0.8191780821917805
0.05105921134110658,0.004577937961741663,0.10885258946873,0.15954791779386623,0.07272727272727275,0.045592705167173175,0.5245614035087716
0.041157952493454664,-0.0021897116800455585,0.10796719390743992,0.17694829255522893,0.030303030303030276,0.006079027355623101,0.22447447447447377
0.08388104620384756,0.026289661619782634,0.1164618566628709,0.18376504229153953,0.07878787878787885,0.06990881458966564,0.6593723494486854
0.05343926432371365,0.025617024869337368,0.09726797737940807,0.1457454131872737,0.012121212121212088,0.06079027355623101,0.09249806651198789
0.0957794641470317,0.02530485544701888,0.10390282796704675,0.18723370724541433,0.10909090909090913,0.09118541033434652,0.8044843049327355
0.01046885723653318,-0.006758538412808712,0.09041826244384643,0.1509010528832343,-0.048484848484848464,0.024316109422492405,-0.3657492354740066
0.06379698498449671,0.010215627704607266,0.11070409871121778,0.16282111220725837,0.054545454545454564,0.08510638297872342,0.4343825665859571
0.04497510489748152,0.010824246045577524,0.08783963219306545,0.09962369233084983,0.08484848484848484,0.027355623100303983,0.6644444444444444
0.07479422277251407,0.009382492227145267,0.09427816230228991,0.123701217696437,0.13333333333333341,0.09422492401215804,1.06959349593496
0.04951065106590591,0.008013739203546533,0.1078387347448343,0.16257855334341254,0.024242424242424176,0.06990881458966569,0.18080120937263722
0.059689404158769055,-0.0039986010334948086,0.09305930212321623,0.13668852700611595,0.07272727272727264,0.06990881458966564,0.5749999999999993
0.0029369177493476784,-0.02940339521867541,0.07643283144803625,0.11619072488637705,0.018181818181818188,0.021276595744680826,0.1447941888619857
0.025341018170407126,-0.0055038886169576084,0.08712250114599607,0.13556797020484163,0.024242424242424288,0.045592705167173286,0.1756240822320123
0.03948235247262233,0.01569424490966076,0.07912148104726524,0.14214214214214216,0.030303030303030276,0.05167173252279639,0.22754946727549452
0.06520293781126402,-0.00683531151340766,0.11285896974783205,0.19527482000978583,0.06060606060606066,0.06990881458966564,0.4540622627182991
0.052119841494290886,0.0011572219692920216,0.08719100428465598,0.13838286518935738,0.042424242424242475,0.08510638297872342,0.3149736644093313
0.04008349151880908,-0.006320973193720936,0.10497735312592982,0.144971144755965,0.06060606060606055,0.06990881458966569,0.4459358687546606
0.05183854919580383,-0.014525108824661181,0.10369516755182262,0.18470798341397698,0.06060606060606066,0.027355623100303983,0.46249033255993854
0.057009806841802124,0.0062569832402235015,0.0944487348011831,0.14410144311134404,0.06060606060606066,0.06079027355623101,0.4690196078431379
0.05048428200287397,0.009546175178459793,0.10766028385291648,0.1479906687045358,0.06060606060606055,0.042553191489361764,0.4712371946414491
0.04294400544088056,0.006304309656559148,0.10057825394143582,0.15594915657884645,0.06666666666666676,0.03951367781155013,0.5208234362628668
0.06205792173827884,0.008398479642815593,0.0978003784295175,0.1513902693268042,0.07878787878787874,0.07598784194528879,0.6169841269841259
0.05616141326249918,0.004998670330644495,0.09294078539136608,0.14670271155894163,0.048484848484848464,0.07598784194528874,0.409940017137961
0.041942857858576266,0.0009341119300896317,0.10418836052296665,0.15842449846043907,0.042424242424242475,0.05471124620060791,0.3419934640522886
0.06626969104403324,0.002392785994709712,0.11344321431444393,0.19159831989132725,0.048484848484848575,0.07598784194528879,0.35754857997010525
0.024634903275208064,-0.02602295599887894,0.08026199712094573,0.11708564186927678,0.07272727272727275,0.05775075987841943,0.5424036281179134
0.06811956139179315,0.012766543290283927,0.10792432915195072,0.1726352721476605,0.030303030303030276,0.06382978723404253,0.2549019607843137
0.05384837092984768,0.006770393257771623,0.1035261874644815,0.1347939029709314,0.024242424242424288,0.05167173252279633,0.19074960127591734
0.06252761565547399,0.02071391484942897,0.09692540671512628,0.14455052563827506,0.024242424242424288,0.06079027355623101,0.19933333333333358
0.055647589382199714,0.0018701953371140778,0.11057971014492751,0.1830978913790961,0.06060606060606066,0.10638297872340424,0.48148148148148184
0.051018172338203716,-0.007775112963236741,0.09750717990041124,0.1805570970976818,0.054545454545454564,0.03951367781155013,0.4058823529411759
0.03694312130768995,-0.015303249263549978,0.09970748220543191,0.17703276699029125,0.030303030303030387,0.07294832826747721,0.2249811888638087
0.05279984410278232,0.0074667785570903256,0.10179962395917275,0.1742059861712612,0.042424242424242475,0.10030395136778114,0.3156862745098046
0.04741369391799205,-0.0025612323116794844,0.0931347328131491,0.13887976598660906,0.012121212121212088,0.04255319148936171,0.10016750418760445
0.08025291821335084,0.00944301755079191,0.10589457999934149,0.182974862145642,0.07272727272727264,0.07598784194528874,0.5641509433962257
0.04686270181495367,0.010630511679462717,0.08793706293706283,0.14219627668111057,0.042424242424242475,0.06686930091185411,0.3252525252525258
0.04387069128769466,-0.007719614537796349,0.1026456651456652,0.16580297111270567,0.09090909090909083,0.05775075987841949,0.6795454545454538
0.03418678628695959,0.012386292769770546,0.094844285112061,0.1373165382415593,0.018181818181818188,0.030395136778115506,0.15062972292191468
0.06797180053351909,0.022402284250381044,0.10993986723100369,0.18598776591792762,0.07272727272727275,0.07294832826747716,0.5166306695464362
0.05175862445163876,0.013388234133832944,0.09041020619500817,0.1207329694728741,0.006060606060605989,0.06686930091185406,0.05085034013605405
0.041249562468846146,-0.0415977466139279,0.08635982260577735,0.14424345769566937,0.042424242424242364,0.024316109422492405,0.34452674897119273
0.03872933926291838,0.005292286634806631,0.09002425045913887,0.13516148445336007,0.018181818181818188,0.03951367781155013,0.14170616113744128
0.047963878812634475,0.007607680714449283,0.09298587854297702,0.16606110652353429,0.07272727272727275,0.04559270516717323,0.5461187214611876
0.0715227925896817,0.013581549008507388,0.09115838290150224,0.16682297687335967,0.09696969696969693,0.06990881458966564,0.7009523809523808
0.049487218891899165,-0.00515188254927168,0.10916765088091529,0.14451925502579227,0.07272727272727275,0.045592705167173286,0.6025188916876569
0.06752699978287635,0.012334906259795497,0.11795847135268844,0.19702604643313795,0.036363636363636265,0.05167173252279639,0.2917073170731701
0.05555990051455545,-0.0034284372431607757,0.09287033775586073,0.16763048763048757,0.07878787878787885,0.05775075987841943,0.5758518518518523
0.0881566066494962,-0.0023601886243675985,0.12065848467943563,0.21519710819659726,0.1393939393939394,0.07902735562310026,1.0372549019607842
0.031188139108068225,-0.009146413056240421,0.07783022190912292,0.12522434596981424,0.054545454545454564,0.03951367781155013,0.39866666666666717
0.02683679976816644,-0.008131282493407888,0.09403555306800349,0.12778065871527916,0.036363636363636376,0.06990881458966569,0.30050251256281424
0.047421803384316896,-0.011489677398768383,0.10229466479466476,0.17239845891395597,0.10303030303030303,0.05167173252279639,0.7701515151515155
0.04442229399247516,0.0031853713970866337,0.10684153822691655,0.17980813156692554,0.06666666666666665,0.05775075987841949,0.51471048513302
0.03083285233209715,-0.019063508654070804,0.11423185850666762,0.18668774148226203,0.0,0.030395136778115506,0.0
0.05596293513030959,0.006964341414316788,0.1025413455014359,0.17421134787817188,0.09090909090909083,0.0820668693009119,0.6857798165137607
0.06580537017259164,0.01218834453019757,0.10716796990825073,0.17657830484827347,0.048484848484848575,0.06079027355623101,0.38894308943089495
0.04249635744584612,-0.009279539815736593,0.09450133535612126,0.15403451156627201,0.018181818181818188,0.060790273556230956,0.1343820224719101
0.04864398267855741,-0.011553416191252386,0.10987163814180934,0.174123876176247,0.054545454545454564,0.07294832826747727,0.4386308068459659
0.0505725114117655,-0.011289420117886473,0.10139455651061013,0.1727899058044807,0.09696969696969704,0.06382978723404259,0.7314984709480123
0.04925631773983824,-0.01765268672166631,0.09932204586091153,0.17581699346405225,0.06060606060606066,0.06382978723404259,0.4439495174461774
0.03395781585091834,-0.007888751674780314,0.07950577491270483,0.12540991073055197,0.06060606060606066,0.024316109422492405,0.4509803921568629
0.0638849984128455,0.005238439602570644,0.10357212549953343,0.1599906447337647,0.09090909090909094,0.08510638297872342,0.7018779342723009
0.03542700356594619,-0.013405617367065914,0.11202422291289127,0.17135700227487663,0.0,0.021276595744680826,0.0
0.056142981086041266,0.021688219845982792,0.07840035608055518,0.09645010917408936,0.07878787878787874,0.05167173252279633,0.6678694158075595
0.06420661867504196,-0.003224604448521018,0.09436466534179222,0.14313520802070417,0.08484848484848484,0.07598784194528879,0.632804232804232
0.0433237493773197,0.0043700030170463755,0.09477218157590384,0.1563487262216845,0.054545454545454564,0.04255319148936171,0.40044642857142865
0.054948358814489895,-0.005998911056663947,0.11983926742633433,0.1890350794161634,0.12121212121212122,0.04255319148936171,0.9228395061728394
0.05026142432249431,-0.0013366142569039008,0.08028186974859364,0.1279320846550426,0.07878787878787885,0.08206686930091184,0.5797166293810596
0.0331099049389138,-0.0054388328365054806,0.10775831868327856,0.17202674014183117,0.048484848484848464,0.05167173252279633,0.3616024187452753
0.05923974494006412,0.006283185840707861,0.10330904790967343,0.18536071616640334,0.06060606060606055,0.10942249240121577,0.42959770114942497
0.03852012441986136,0.02486690765691746,0.12694955635885652,0.20194642832198886,0.030303030303030276,0.02431610942249246,0.2345098039215685
0.05405984052891927,0.007210701759083227,0.09868821789070659,0.16450139311864195,0.054545454545454564,0.03343465045592703,0.43125000000000036
