memory_name,compound_id,name,domain,reference_group,label_source,esr1_binding,tanimoto,murcko_scaffold,task,query_compound_id,query_name,query_delta_score,ar_binding
generic_bioactive,CHEMBL4862453,CHEMBL4862453,generic_bioactive,generic_bioactive,chembl_source_target_mie_curated,1.0,0.15151516,c1ccc(C2NCCc3c2[nH]c2ccccc32)cc1,esr1_binding,DTXSID00380798,"1H,1H,11H,11H-Perfluorotetraethylene glycol",0.7897487839063009,
generic_bioactive,CHEMBL5816507,CHEMBL5816507,generic_bioactive,generic_bioactive,chembl_source_target_mie_curated,1.0,0.14864865,c1cncc(C2NCCc3c2[nH]c2ccccc32)c1,esr1_binding,DTXSID00380798,"1H,1H,11H,11H-Perfluorotetraethylene glycol",0.7897487839063009,
generic_bioactive,CHEMBL4868243,CHEMBL4868243,generic_bioactive,generic_bioactive,chembl_source_target_mie_curated,1.0,0.14492753,c1ccc(C2NCCc3c2[nH]c2ccccc32)cc1,esr1_binding,DTXSID00380798,"1H,1H,11H,11H-Perfluorotetraethylene glycol",0.7897487839063009,
mixed,DTXSID40380797,"1H,1H-Perfluoro-3,6,9-trioxadecan-1-ol",pollutant,pollutant_only,ctx_target_mie_curated_endpoints,1.0,0.8888889,NO_SCAFFOLD,esr1_binding,DTXSID00380798,"1H,1H,11H,11H-Perfluorotetraethylene glycol",0.7897487839063009,
mixed,DTXSID50369896,"1H,1H,10H,10H-Perfluorodecane-1,10-diol",pollutant,pollutant_only,ctx_target_mie_curated_endpoints,1.0,0.3181818,NO_SCAFFOLD,esr1_binding,DTXSID00380798,"1H,1H,11H,11H-Perfluorotetraethylene glycol",0.7897487839063009,
mixed,DTXSID30396867,"1H,1H,8H,8H-Perfluorooctane-1,8-diol",pollutant,pollutant_only,ctx_target_mie_curated_endpoints,1.0,0.3181818,NO_SCAFFOLD,esr1_binding,DTXSID00380798,"1H,1H,11H,11H-Perfluorotetraethylene glycol",0.7897487839063009,
mixed,DTXSID8027036,Neopentyl glycol,pollutant,pollutant_only,ctx_target_mie_curated_endpoints,0.0,0.3,NO_SCAFFOLD,esr1_binding,DTXSID00380798,"1H,1H,11H,11H-Perfluorotetraethylene glycol",0.7897487839063009,
mixed,DTXSID8027032,2-Amino-2-methylpropan-1-ol,pollutant,pollutant_only,ctx_target_mie_curated_endpoints,0.0,0.2857143,NO_SCAFFOLD,esr1_binding,DTXSID00380798,"1H,1H,11H,11H-Perfluorotetraethylene glycol",0.7897487839063009,
pollutant_only,DTXSID6022345,"o,p'-DDT",pollutant,pollutant_only,ctx_target_mie_curated_endpoints,1.0,0.65384614,c1ccc(Cc2ccccc2)cc1,esr1_binding,DTXSID4020375,DDT,0.7793091257413229,
pollutant_only,DTXSID8022325,"2,2-Bis(4-hydroxyphenyl)-1,1,1-trichloroethane",pollutant,pollutant_only,ctx_target_mie_curated_endpoints,1.0,0.6086956,c1ccc(Cc2ccccc2)cc1,esr1_binding,DTXSID4020375,DDT,0.7793091257413229,
pollutant_only,DTXSID9020827,Methoxychlor,pollutant,pollutant_only,ctx_target_mie_curated_endpoints,1.0,0.53846157,c1ccc(Cc2ccccc2)cc1,esr1_binding,DTXSID4020375,DDT,0.7793091257413229,
pollutant_only,DTXSID4020373,"p,p'-DDD",pollutant,pollutant_only,ctx_target_mie_curated_endpoints,0.0,0.45833334,c1ccc(Cc2ccccc2)cc1,esr1_binding,DTXSID4020375,DDT,0.7793091257413229,
